age,job,marital,education,default,balance,housing,loan,campaign,day,month,duration,y
27,technician,single,tertiary,no,0,yes,no,1,5,may,400,no
44,blue-collar,married,secondary,no,54,yes,no,1,5,may,197,no
47,technician,married,tertiary,no,151,yes,no,1,5,may,190,no
34,admin.,married,secondary,no,61,no,yes,1,5,may,21,no
59,retired,single,secondary,no,30,yes,no,1,5,may,514,no
45,management,married,tertiary,no,523,yes,no,2,5,may,849,no
29,services,divorced,secondary,no,31,yes,no,1,5,may,194,no
46,technician,divorced,secondary,no,79,no,no,1,5,may,144,no
56,self-employed,married,primary,no,-34,yes,yes,2,5,may,212,no
36,blue-collar,married,primary,no,448,yes,no,1,5,may,286,no
59,retired,divorced,primary,no,81,yes,no,1,5,may,107,no
44,blue-collar,married,secondary,no,144,yes,no,2,5,may,247,no
41,admin.,married,secondary,no,351,yes,no,1,5,may,518,no
33,management,single,tertiary,no,-67,yes,no,1,5,may,364,no
59,management,divorced,tertiary,no,262,no,no,1,5,may,178,no
57,technician,married,primary,no,0,no,no,1,5,may,98,no
56,technician,divorced,unknown,no,56,yes,no,1,5,may,439,no
51,blue-collar,married,secondary,no,26,yes,no,1,5,may,79,no
34,admin.,married,unknown,no,3,yes,no,3,5,may,120,no
43,services,married,secondary,no,41,yes,yes,2,5,may,127,no
52,technician,married,tertiary,no,7,no,yes,1,5,may,175,no
33,technician,single,secondary,no,105,yes,no,2,5,may,262,no
29,admin.,single,secondary,no,818,yes,yes,1,5,may,61,no
34,services,married,secondary,no,-16,yes,yes,1,5,may,78,no
31,blue-collar,married,secondary,no,0,yes,no,1,5,may,143,no
55,services,married,secondary,no,2476,yes,no,1,5,may,579,yes
55,management,married,unknown,no,1185,no,no,1,5,may,677,no
32,admin.,single,secondary,no,217,yes,no,1,5,may,345,no
38,technician,single,secondary,no,1685,yes,no,1,5,may,185,no
55,admin.,single,secondary,no,802,yes,yes,2,5,may,100,no
28,unemployed,single,tertiary,no,0,yes,no,2,5,may,125,no
23,blue-collar,married,secondary,no,94,yes,no,1,5,may,193,no
32,technician,single,secondary,no,0,yes,no,1,5,may,136,no
43,services,single,unknown,no,0,no,no,1,5,may,73,no
32,blue-collar,married,secondary,no,517,yes,no,1,5,may,528,no
46,blue-collar,married,secondary,no,265,yes,no,1,5,may,541,no
53,housemaid,divorced,primary,no,947,yes,no,1,5,may,163,no
34,self-employed,single,secondary,no,3,yes,no,1,5,may,301,no
57,unemployed,married,tertiary,no,42,no,no,1,5,may,46,no
37,blue-collar,married,secondary,no,37,yes,no,1,5,may,204,no
59,blue-collar,married,secondary,no,57,yes,no,1,5,may,98,no
33,services,married,secondary,no,22,yes,no,1,5,may,71,no
56,blue-collar,divorced,primary,no,8,yes,no,2,5,may,157,no
48,unemployed,married,secondary,no,293,yes,no,1,5,may,243,no
43,services,married,primary,no,3,yes,no,2,5,may,186,no
54,blue-collar,married,primary,no,348,yes,no,2,5,may,579,no
51,blue-collar,married,unknown,no,-19,yes,no,2,5,may,163,no
26,student,single,secondary,no,0,yes,no,2,5,may,610,no
40,management,married,tertiary,no,-4,yes,no,1,5,may,2033,no
39,management,married,secondary,no,18,yes,no,1,5,may,85,no
50,technician,married,primary,no,139,no,no,2,5,may,114,no
41,services,married,secondary,no,0,yes,no,2,5,may,114,no
51,blue-collar,married,unknown,no,1883,yes,no,1,5,may,57,no
60,retired,divorced,secondary,no,216,yes,no,1,5,may,238,no
52,blue-collar,married,secondary,no,782,yes,no,3,5,may,93,no
48,blue-collar,married,secondary,no,904,yes,no,2,5,may,128,no
48,services,married,unknown,no,1705,yes,no,1,5,may,107,no
39,technician,single,tertiary,no,47,yes,no,1,5,may,181,no
47,services,single,secondary,no,176,yes,no,2,5,may,303,no
40,blue-collar,married,secondary,no,1225,yes,no,5,5,may,558,no
45,technician,married,secondary,no,86,yes,no,1,5,may,270,no
26,admin.,single,secondary,no,82,yes,no,1,5,may,228,no
52,management,married,tertiary,no,271,yes,no,1,5,may,99,no
54,technician,married,secondary,no,1378,yes,no,1,5,may,240,no
54,admin.,married,tertiary,no,184,no,no,2,5,may,673,yes
50,blue-collar,married,primary,no,0,no,no,3,5,may,233,no
35,blue-collar,married,secondary,no,0,yes,no,1,5,may,1056,no
44,services,married,secondary,no,1357,yes,yes,1,5,may,250,no
53,entrepreneur,married,unknown,no,19,yes,no,1,5,may,252,no
35,retired,single,primary,no,434,no,no,1,5,may,138,no
60,admin.,divorced,secondary,no,92,yes,no,1,5,may,130,no
53,admin.,divorced,secondary,no,1151,yes,no,1,5,may,412,no
48,unemployed,married,secondary,no,41,yes,no,2,5,may,179,no
34,technician,married,secondary,no,51,yes,no,2,5,may,19,no
54,services,married,secondary,no,214,yes,no,2,5,may,458,no
51,management,married,secondary,no,1161,yes,no,1,5,may,717,no
31,services,married,tertiary,no,37,yes,no,1,5,may,313,no
35,technician,divorced,secondary,no,787,yes,no,2,5,may,683,no
35,services,married,secondary,no,59,yes,no,1,5,may,1077,no
38,technician,married,secondary,no,253,yes,no,1,5,may,416,no
36,admin.,married,tertiary,no,211,yes,no,2,5,may,146,no
58,retired,married,primary,no,235,yes,no,1,5,may,167,no
40,services,divorced,unknown,no,4384,yes,no,1,5,may,315,no
54,management,married,secondary,no,4080,no,no,1,5,may,140,no
34,blue-collar,single,secondary,no,53,yes,yes,1,5,may,346,no
31,management,single,tertiary,no,0,yes,no,1,5,may,562,no
51,retired,married,secondary,no,2127,yes,no,1,5,may,172,no
33,management,married,tertiary,no,377,yes,no,1,5,may,217,no
55,management,married,tertiary,no,73,yes,no,2,5,may,142,no
42,admin.,married,secondary,no,445,yes,no,1,5,may,67,no
34,blue-collar,married,secondary,no,243,yes,no,1,5,may,291,no
33,blue-collar,single,secondary,no,307,yes,no,2,5,may,309,no
38,services,married,secondary,no,155,yes,no,1,5,may,248,no
50,technician,divorced,tertiary,no,173,no,yes,1,5,may,98,no
43,management,married,tertiary,no,400,yes,no,1,5,may,256,no
61,blue-collar,divorced,primary,no,1428,yes,no,2,5,may,82,no
47,admin.,married,secondary,no,219,yes,no,1,5,may,577,no
48,self-employed,married,tertiary,no,7,yes,no,1,5,may,286,no
44,blue-collar,married,secondary,no,575,yes,no,1,5,may,477,no
35,student,single,unknown,no,298,yes,no,2,5,may,611,no
35,services,married,secondary,no,0,yes,no,1,5,may,471,no
50,services,married,secondary,no,5699,yes,no,2,5,may,381,no
41,management,married,tertiary,no,176,yes,yes,1,5,may,42,no
41,management,married,tertiary,no,517,yes,no,1,5,may,251,no
39,services,single,unknown,no,257,yes,no,1,5,may,408,no
42,retired,married,secondary,no,56,yes,no,1,5,may,215,no
38,blue-collar,married,secondary,no,-390,yes,no,1,5,may,287,no
53,retired,married,secondary,no,330,yes,no,2,5,may,216,no
59,housemaid,divorced,primary,no,195,no,no,2,5,may,366,no
36,services,married,secondary,no,301,yes,no,1,5,may,210,no
54,blue-collar,married,primary,no,-41,yes,no,1,5,may,288,no
40,technician,married,tertiary,no,483,yes,no,1,5,may,168,no
47,unknown,married,unknown,no,28,no,no,2,5,may,338,no
53,unemployed,married,unknown,no,13,no,no,3,5,may,410,no
46,housemaid,married,primary,no,965,no,no,1,5,may,177,no
39,management,married,tertiary,no,378,yes,yes,2,5,may,127,no
40,unemployed,married,secondary,no,219,yes,no,1,5,may,357,no
28,blue-collar,married,primary,no,324,yes,no,1,5,may,175,no
35,entrepreneur,divorced,secondary,no,-69,yes,no,1,5,may,300,no
55,retired,married,secondary,no,0,no,yes,1,5,may,136,no
43,technician,divorced,unknown,no,205,yes,no,1,5,may,1419,no
48,blue-collar,married,primary,no,278,yes,no,2,5,may,125,no
58,management,married,unknown,no,1065,yes,no,3,5,may,213,no
33,management,single,tertiary,no,34,yes,no,1,5,may,27,no
36,blue-collar,married,unknown,no,1033,no,no,2,5,may,238,no
53,services,divorced,secondary,no,1467,yes,no,1,5,may,124,no
47,blue-collar,married,primary,no,-12,yes,no,1,5,may,18,no
31,services,married,secondary,no,388,yes,no,2,5,may,730,no
57,entrepreneur,married,secondary,no,294,yes,no,2,5,may,746,no
53,blue-collar,married,unknown,no,1827,no,no,1,5,may,121,no
55,blue-collar,married,primary,no,627,yes,no,1,5,may,247,no
45,blue-collar,married,primary,no,25,yes,no,1,5,may,40,no
53,admin.,divorced,secondary,no,315,yes,no,2,5,may,181,no
37,blue-collar,married,primary,no,0,yes,no,1,5,may,79,no
44,admin.,divorced,secondary,no,66,yes,no,1,5,may,206,no
49,blue-collar,divorced,primary,no,-9,yes,yes,1,5,may,389,no
46,technician,married,secondary,no,349,yes,yes,1,5,may,127,no
43,entrepreneur,married,unknown,no,100,yes,no,1,5,may,702,no
38,admin.,married,secondary,no,0,no,no,1,5,may,151,no
43,technician,married,secondary,no,434,yes,no,1,5,may,117,no
49,management,married,tertiary,no,3237,yes,no,3,5,may,232,no
42,management,married,unknown,no,275,no,no,2,5,may,408,no
22,blue-collar,single,secondary,no,0,yes,no,2,5,may,179,no
40,management,married,tertiary,no,207,yes,no,1,5,may,39,no
39,blue-collar,married,secondary,no,483,yes,no,1,5,may,282,no
51,services,married,secondary,no,2248,yes,no,2,5,may,714,no
49,admin.,married,secondary,no,428,yes,no,1,5,may,50,no
53,blue-collar,married,secondary,no,0,yes,yes,1,5,may,181,no
34,services,single,secondary,no,0,yes,no,1,5,may,142,no
33,technician,divorced,secondary,no,140,yes,no,1,5,may,227,no
50,management,single,tertiary,no,297,yes,no,1,5,may,119,no
39,blue-collar,married,primary,no,279,yes,no,1,5,may,361,no
59,entrepreneur,divorced,secondary,no,901,yes,no,3,5,may,73,no
30,technician,single,secondary,no,2573,yes,no,2,5,may,67,no
36,services,married,secondary,no,143,yes,yes,1,5,may,350,no
40,blue-collar,married,secondary,no,475,yes,no,2,5,may,332,no
53,blue-collar,married,secondary,no,70,yes,no,2,5,may,611,no
34,management,single,tertiary,no,318,yes,no,2,5,may,113,no
37,technician,married,secondary,no,275,yes,no,1,5,may,132,no
42,management,divorced,tertiary,no,742,yes,no,3,5,may,58,no
41,entrepreneur,married,primary,no,236,yes,no,1,5,may,151,no
30,student,single,tertiary,no,25,yes,no,2,5,may,89,no
37,management,single,tertiary,no,600,yes,no,1,5,may,152,no
39,admin.,divorced,secondary,no,-349,yes,no,2,5,may,611,no
41,blue-collar,married,primary,no,183,yes,yes,2,5,may,110,no
40,blue-collar,married,primary,no,0,yes,no,1,5,may,463,no
42,management,single,tertiary,no,0,yes,yes,2,5,may,562,yes
40,blue-collar,divorced,primary,no,0,yes,no,1,5,may,962,no
57,technician,married,secondary,no,1078,yes,no,4,5,may,10,no
56,entrepreneur,divorced,secondary,no,155,no,no,3,5,may,118,no
37,admin.,married,secondary,no,190,yes,no,2,5,may,92,no
59,retired,married,secondary,no,319,yes,no,3,5,may,143,no
39,services,divorced,secondary,no,-185,yes,no,3,5,may,189,no
49,services,married,secondary,no,47,no,no,2,5,may,234,no
38,services,single,secondary,no,570,yes,no,2,5,may,75,no
36,self-employed,married,tertiary,no,19,no,no,2,5,may,189,no
50,blue-collar,married,primary,no,61,yes,no,3,5,may,621,no
41,admin.,married,secondary,no,-62,yes,yes,2,5,may,55,no
54,technician,married,tertiary,no,258,no,no,4,5,may,310,no
58,blue-collar,married,primary,no,76,yes,no,2,5,may,156,no
30,blue-collar,single,secondary,no,0,yes,no,2,5,may,5,no
33,admin.,single,secondary,no,352,yes,no,2,5,may,225,no
47,admin.,married,secondary,no,368,yes,no,2,5,may,125,no
50,technician,single,tertiary,no,339,yes,no,3,5,may,2,no
32,blue-collar,married,secondary,no,1331,yes,no,2,5,may,286,no
40,self-employed,married,secondary,no,672,yes,no,2,5,may,164,no
37,management,married,tertiary,no,58,yes,no,2,5,may,98,no
54,technician,single,unknown,no,447,yes,no,2,5,may,742,no
24,student,single,secondary,no,423,yes,no,3,5,may,226,no
54,management,married,tertiary,no,0,no,no,2,5,may,120,no
34,technician,married,secondary,no,19,yes,no,4,5,may,362,no
56,technician,divorced,primary,no,13,yes,no,2,5,may,357,no
31,blue-collar,single,secondary,no,3,yes,no,2,5,may,200,no
24,student,single,secondary,no,82,yes,no,2,5,may,204,no
42,blue-collar,divorced,primary,no,28,yes,no,3,5,may,126,no
57,technician,married,secondary,no,792,yes,no,2,5,may,65,no
42,blue-collar,married,unknown,no,408,yes,no,2,5,may,107,no
51,admin.,married,secondary,no,531,yes,no,2,5,may,267,no
57,retired,married,secondary,no,211,yes,no,2,5,may,248,no
36,services,single,secondary,no,62,yes,no,2,5,may,215,no
53,services,married,unknown,no,257,yes,no,2,5,may,209,no
50,technician,married,secondary,no,1234,yes,no,2,5,may,205,no
54,management,married,tertiary,no,313,yes,no,2,5,may,83,no
55,blue-collar,married,secondary,no,89,yes,no,3,5,may,106,no
44,blue-collar,married,secondary,no,129,yes,yes,2,5,may,189,no
43,management,married,unknown,no,0,yes,no,2,5,may,105,no
56,admin.,married,secondary,no,353,yes,no,2,5,may,106,no
54,technician,married,unknown,no,851,yes,no,2,5,may,108,no
55,services,divorced,primary,no,96,yes,yes,2,5,may,311,no
37,services,divorced,secondary,no,398,yes,yes,2,5,may,214,no
33,admin.,single,tertiary,no,193,no,no,2,5,may,132,no
46,admin.,married,secondary,no,-358,yes,no,2,5,may,358,no
36,blue-collar,married,secondary,no,539,yes,yes,2,5,may,453,no
51,technician,single,secondary,no,0,yes,no,2,5,may,364,no
40,retired,single,primary,no,0,no,no,2,5,may,136,no
42,blue-collar,married,secondary,no,490,yes,no,2,5,may,386,no
51,blue-collar,married,secondary,no,0,yes,no,2,5,may,173,no
49,blue-collar,married,unknown,no,403,yes,no,2,5,may,241,no
48,management,married,secondary,no,161,yes,no,3,5,may,224,no
32,technician,divorced,tertiary,no,2558,no,no,2,5,may,148,no
31,admin.,single,secondary,no,98,yes,no,2,5,may,196,no
55,management,single,tertiary,no,115,no,no,4,5,may,111,no
40,blue-collar,single,secondary,no,436,yes,no,3,5,may,231,no
47,technician,married,tertiary,no,831,yes,no,3,5,may,316,no
57,technician,married,unknown,no,206,yes,no,3,5,may,216,no
41,blue-collar,married,secondary,no,290,yes,no,2,5,may,240,no
48,blue-collar,married,secondary,no,1,no,no,3,5,may,669,no
42,blue-collar,married,unknown,no,57,yes,no,2,5,may,425,no
30,blue-collar,single,secondary,no,-457,yes,no,2,5,may,143,no
58,management,single,tertiary,no,1387,yes,no,5,5,may,174,no
45,management,divorced,tertiary,no,24598,yes,no,3,5,may,313,no
49,blue-collar,married,secondary,no,30,yes,no,4,5,may,135,no
42,admin.,single,secondary,no,1022,yes,no,2,5,may,146,no
53,technician,married,secondary,no,56,yes,yes,2,5,may,152,no
51,admin.,single,secondary,yes,-2,no,no,3,5,may,402,no
32,services,single,secondary,no,121,yes,no,2,5,may,213,no
41,blue-collar,single,secondary,no,842,yes,no,3,5,may,144,no
43,management,divorced,secondary,no,693,yes,no,3,5,may,124,no
40,blue-collar,divorced,secondary,no,-333,yes,no,2,5,may,183,no
50,blue-collar,married,primary,no,1533,yes,no,2,5,may,325,no
34,management,married,tertiary,no,46,yes,no,4,5,may,39,no
53,services,married,unknown,no,18,no,no,2,5,may,503,no
45,technician,married,secondary,no,44,yes,no,4,5,may,95,no
39,blue-collar,married,primary,no,-100,yes,no,2,5,may,680,no
44,services,married,tertiary,no,510,yes,no,4,5,may,421,no
55,management,married,tertiary,no,685,yes,no,3,5,may,174,no
46,management,single,tertiary,no,187,yes,no,2,5,may,113,no
45,blue-collar,married,secondary,no,66,yes,no,2,5,may,808,no
34,admin.,married,secondary,no,560,yes,no,3,5,may,198,no
36,blue-collar,married,secondary,no,0,yes,no,2,5,may,195,no
59,unknown,divorced,unknown,no,27,no,no,3,5,may,347,no
31,admin.,single,secondary,no,12,yes,no,2,5,may,208,no
44,blue-collar,single,secondary,no,34,yes,no,4,5,may,404,no
33,entrepreneur,single,tertiary,no,1068,yes,no,2,5,may,396,no
40,blue-collar,married,secondary,no,211,yes,no,4,5,may,216,no
46,admin.,single,tertiary,no,377,yes,no,2,5,may,98,no
48,management,married,tertiary,no,263,yes,no,2,5,may,350,no
42,services,married,secondary,no,1263,yes,no,2,6,may,114,no
27,services,married,secondary,no,8,yes,no,3,6,may,88,no
48,admin.,married,secondary,no,126,yes,yes,2,6,may,379,no
59,admin.,married,secondary,no,230,yes,no,3,6,may,190,no
46,technician,married,tertiary,no,841,yes,no,1,6,may,158,no
38,admin.,divorced,secondary,no,308,yes,no,1,6,may,102,no
43,management,divorced,tertiary,no,1,yes,no,1,6,may,306,no
38,admin.,divorced,tertiary,no,86,yes,no,1,6,may,218,no
23,student,single,secondary,no,157,yes,no,1,6,may,54,no
34,services,married,secondary,no,22,yes,no,1,6,may,344,no
38,admin.,married,secondary,no,46,yes,yes,1,6,may,195,no
37,blue-collar,married,secondary,no,1293,no,no,1,6,may,652,no
25,admin.,single,secondary,no,122,yes,no,1,6,may,286,no
48,blue-collar,married,unknown,no,131,yes,no,1,6,may,189,no
49,blue-collar,single,secondary,no,143,yes,no,1,6,may,83,no
38,admin.,single,secondary,no,393,no,no,2,6,may,184,no
43,blue-collar,married,primary,no,98,yes,no,1,6,may,235,no
33,management,married,tertiary,no,0,yes,no,1,6,may,290,no
55,blue-collar,married,secondary,no,224,yes,no,1,6,may,232,no
38,blue-collar,married,secondary,no,757,yes,no,1,6,may,133,no
49,services,married,secondary,no,245,yes,yes,1,6,may,318,no
40,management,married,secondary,no,8486,no,no,3,6,may,260,no
43,admin.,married,unknown,no,350,no,no,1,6,may,437,no
38,blue-collar,married,secondary,no,20,yes,no,1,6,may,402,no
58,services,married,secondary,no,1667,yes,yes,1,6,may,85,no
57,technician,married,unknown,no,345,yes,no,1,6,may,125,no
32,unemployed,married,secondary,no,10,yes,no,4,6,may,501,no
56,management,married,tertiary,no,830,yes,yes,1,6,may,1201,yes
58,blue-collar,divorced,unknown,no,29,yes,no,1,6,may,253,no
60,retired,divorced,secondary,no,545,yes,no,1,6,may,1030,yes
37,technician,married,tertiary,no,8730,yes,no,1,6,may,149,no
46,technician,divorced,tertiary,no,477,yes,no,1,6,may,114,no
27,admin.,married,secondary,no,4,yes,no,1,6,may,243,no
43,blue-collar,married,secondary,no,1205,yes,no,2,6,may,769,no
32,technician,single,secondary,no,0,yes,yes,3,6,may,135,no
40,admin.,single,secondary,no,263,yes,no,1,6,may,231,no
38,admin.,married,secondary,no,1,no,no,1,6,may,76,no
34,blue-collar,married,secondary,no,283,no,yes,1,6,may,199,no
47,blue-collar,married,primary,no,206,yes,no,1,6,may,152,no
42,housemaid,married,primary,no,17,yes,no,1,6,may,124,no
48,technician,married,secondary,no,141,yes,yes,1,6,may,424,no
29,self-employed,single,tertiary,no,16,yes,no,1,6,may,43,no
50,services,married,secondary,no,206,yes,no,1,6,may,154,no
52,technician,married,unknown,no,7,no,no,2,6,may,203,no
50,management,married,tertiary,no,0,no,no,1,6,may,326,no
58,retired,married,tertiary,no,0,no,no,1,6,may,393,no
46,blue-collar,divorced,primary,no,1927,yes,no,3,6,may,241,no
38,technician,married,secondary,no,284,yes,no,1,6,may,483,no
46,blue-collar,married,secondary,no,1660,yes,no,1,6,may,259,no
32,services,single,secondary,no,406,yes,no,1,6,may,227,no
51,blue-collar,married,primary,no,230,yes,no,1,6,may,673,no
39,admin.,single,secondary,no,-25,yes,no,1,6,may,576,no
48,admin.,married,secondary,no,182,yes,no,2,6,may,180,no
36,entrepreneur,married,tertiary,no,1169,yes,no,2,6,may,168,no
34,admin.,divorced,secondary,no,67,yes,no,1,6,may,90,no
40,technician,married,secondary,no,77,no,no,1,6,may,505,no
43,unemployed,married,secondary,no,0,yes,no,1,6,may,245,no
52,blue-collar,divorced,primary,no,55,yes,yes,1,6,may,186,no
33,technician,married,secondary,yes,72,yes,no,1,6,may,623,no
49,management,single,tertiary,no,163,yes,no,3,6,may,496,no
32,management,single,tertiary,no,151,yes,no,1,6,may,118,no
39,admin.,single,secondary,no,113,yes,no,1,6,may,342,no
40,blue-collar,married,secondary,no,0,yes,no,1,6,may,225,no
38,technician,single,tertiary,no,9,yes,no,3,6,may,185,no
43,management,married,secondary,no,375,yes,no,2,6,may,196,no
39,services,married,secondary,no,1142,yes,no,1,6,may,276,no
54,blue-collar,married,primary,no,2102,yes,no,1,6,may,76,no
38,technician,single,tertiary,no,4325,yes,no,1,6,may,87,no
40,blue-collar,married,secondary,no,217,yes,no,1,6,may,195,no
55,admin.,married,secondary,no,131,yes,no,1,6,may,744,no
42,management,married,tertiary,no,1680,yes,no,1,6,may,765,no
39,blue-collar,married,secondary,no,0,yes,no,1,6,may,262,no
40,blue-collar,married,primary,no,46,yes,no,1,6,may,119,no
32,blue-collar,married,secondary,no,320,yes,no,2,6,may,198,no
55,admin.,married,secondary,no,183,yes,no,1,6,may,150,no
45,blue-collar,married,secondary,no,39,no,no,1,6,may,241,no
35,management,single,tertiary,no,560,yes,no,1,6,may,181,no
58,technician,divorced,secondary,no,469,no,no,1,6,may,196,no
35,admin.,married,secondary,no,530,yes,no,1,6,may,149,no
49,services,married,primary,no,61,yes,no,1,6,may,246,no
34,technician,single,tertiary,no,242,yes,no,1,6,may,112,no
36,blue-collar,married,secondary,no,139,yes,no,2,6,may,309,no
